druid,resource_label,resource_type,sequence,filename,file_label,publish,shelve,preserve,rights_view,rights_download,rights_location,mimetype,role,file_language
bb648mk7250,File 1,file,1,bb648mk7250.tar,bb648mk7250.tar,yes,yes,yes,world,world,,application/x-tar,,
bb648mk7250,File 2,file,2,bb648mk7250_basecolor.jpg,bb648mk7250_basecolor.jpg,yes,yes,yes,world,world,,image/jpeg,,
bb648mk7250,File 3,file,3,bb648mk7250_low.mtl,bb648mk7250_low.mtl,yes,yes,yes,world,world,,text/plain,,
bb648mk7250,3d 1,3d,4,bb648mk7250_low.obj,bb648mk7250_low.obj,yes,yes,yes,world,world,,text/plain,,
bb648mk7250,File 4,file,5,bb648mk7250_normal.jpg,bb648mk7250_normal.jpg,yes,yes,yes,world,world,,image/jpeg,,
bc769sr4504,File 1,file,1,Anonymous_Dyn19_chapel.mtl,Anonymous_Dyn19_chapel.mtl,yes,yes,yes,world,world,,text/plain,,
bc769sr4504,3d 1,3d,2,Anonymous_Dyn19_chapel.obj,Anonymous_Dyn19_chapel.obj,yes,yes,yes,world,world,,text/plain,,
bc769sr4504,File 2,file,3,HesyRa3.png,HesyRa3.png,no,yes,yes,world,world,,image/png,,
bc769sr4504,File 3,file,4,Limestone_Block1.jpg,Limestone_Block1.jpg,no,yes,yes,world,world,,image/jpeg,,
bc769sr4504,File 4,file,5,Limestone_Block2.jpg,Limestone_Block2.jpg,no,yes,yes,world,world,,image/jpeg,,
bc769sr4504,File 5,file,6,MudBrick.png,MudBrick.png,no,yes,yes,world,world,,image/png,,
bc769sr4504,File 6,file,7,MudPaving.jpg,MudPaving.jpg,no,yes,yes,world,world,,image/jpeg,,
bc769sr4504,File 7,object,8,bc769sr4504.zip,bc769sr4504.zip,yes,yes,yes,world,world,,application/zip,,
bc769sr4504,File 8,file,9,pavingstone.jpg,pavingstone.jpg,no,yes,yes,world,world,,image/jpeg,,
bc769sr4504,File 9,file,10,plaster.jpg,plaster.jpg,no,yes,yes,world,world,,image/jpeg,,
bc769sr4504,File 10,file,11,plaster2.jpg,plaster2.jpg,no,yes,yes,world,world,,image/jpeg,,
bf418ns2590,File 1,file,1,bf418ns2590.ply,bf418ns2590.ply,yes,yes,yes,world,world,,,,
bf418ns2590,File 2,file,2,bf418ns2590.stl,bf418ns2590.stl,yes,yes,yes,world,world,,application/vnd.ms-pki.stl,,
bf418ns2590,File 3,file,3,bf418ns2590_full_obj.tar,bf418ns2590_full_obj.tar,yes,yes,yes,world,world,,image/jpeg,,
bf418ns2590,File 4,file,4,bf418ns2590_low.mtl,bf418ns2590_low.mtl,yes,yes,yes,world,world,,,,
bf418ns2590,Object 1,3d,5,bf418ns2590_low.obj,bf418ns2590_low.obj,yes,yes,yes,world,world,,text/plain,,
bf418ns2590,File 6,file,6,bf418ns2590_low_base.jpg,bf418ns2590_low_base.jpg,yes,yes,yes,world,world,,image/jpeg,,
bf418ns2590,File 7,file,7,bf418ns2590_low_normal.jpg,bf418ns2590_low_normal.jpg,yes,yes,yes,world,world,,image/jpeg,,
bg387kw8222,File 1,file,1,bg387kw8222.ply,bg387kw8222.ply,yes,yes,yes,world,world,,,,
bg387kw8222,File 2,file,2,bg387kw8222_full_obj.tar,bg387kw8222_full_obj.tar,yes,yes,yes,world,world,,image/jpeg,,
bg387kw8222,File 3,file,3,bg387kw8222_low.mtl,bg387kw8222_low.mtl,yes,yes,yes,world,world,,,,
bg387kw8222,Object 1,3d,4,bg387kw8222_low.obj,bg387kw8222_low.obj,yes,yes,yes,world,world,,text/plain,,
bg387kw8222,File 5,file,5,bg387kw8222_low_base.jpg,bg387kw8222_low_base.jpg,yes,yes,yes,world,world,,image/jpeg,,
bg387kw8222,File 6,file,6,bg387kw8222_low_normal.jpg,bg387kw8222_low_normal.jpg,yes,yes,yes,world,world,,image/jpeg,,
bh598jp0897,File 1,file,1,3120.mtl,3120.mtl,yes,yes,yes,world,world,,text/plain,,
bh598jp0897,3d 1,3d,2,3120.obj,3120.obj,yes,yes,yes,world,world,,text/plain,,
bh598jp0897,File 2,file,3,HesyRa3.png,HesyRa3.png,no,yes,yes,world,world,,image/png,,
bh598jp0897,File 3,file,4,White_plaster_notexture.png,White_plaster_notexture.png,no,yes,yes,world,world,,image/png,,
bh598jp0897,File 4,file,5,bh598jp0897.zip,bh598jp0897.zip,yes,yes,yes,world,world,,application/zip,,
bj213zn9030,File 1,file,1,Djedefre_Pyramid.mtl,Djedefre_Pyramid.mtl,yes,yes,yes,world,world,,text/plain,,
bj213zn9030,3d 1,3d,2,Djedefre_Pyramid.obj,Djedefre_Pyramid.obj,yes,yes,yes,world,world,,text/plain,,
bj213zn9030,File 2,file,3,HesyRa3.png,HesyRa3.png,no,yes,yes,world,world,,image/png,,
bj213zn9030,File 3,file,4,Limestone_Block.jpg,Limestone_Block.jpg,no,yes,yes,world,world,,image/jpeg,,
bj213zn9030,File 4,file,5,_1.jpg,_1.jpg,no,yes,yes,world,world,,image/jpeg,,
bj213zn9030,File 5,file,6,bj213zn9030.zip,bj213zn9030.zip,yes,yes,yes,world,world,,application/zip,,
bk914zc7842,File 1,file,1,bk914zc7842.tar,bk914zc7842.tar,yes,yes,yes,world,world,,application/x-tar,,
bk914zc7842,File 2,file,2,bk914zc7842_basecolor_low.jpg,bk914zc7842_basecolor_low.jpg,yes,yes,yes,world,world,,image/jpeg,,
bk914zc7842,File 3,file,3,bk914zc7842_low.mtl,bk914zc7842_low.mtl,yes,yes,yes,world,world,,text/plain,,
bk914zc7842,File 4,3d,4,bk914zc7842_low.obj,bk914zc7842_low.obj,yes,yes,yes,world,world,,text/plain,,
bk914zc7842,File 5,file,5,bk914zc7842_normal_low.jpg,bk914zc7842_normal_low.jpg,yes,yes,yes,world,world,,image/jpeg,,
bq561ww8633,File 1,file,1,Casing2.jpg,Casing2.jpg,no,yes,yes,world,world,,image/jpeg,,
bq561ww8633,File 2,file,2,HesyRa3.png,HesyRa3.png,no,yes,yes,world,world,,image/png,,
bq561ww8633,File 3,file,3,Shepseskaf_Mastaba.mtl,Shepseskaf_Mastaba.mtl,yes,yes,yes,world,world,,text/plain,,
bq561ww8633,3d 1,3d,4,Shepseskaf_Mastaba.obj,Shepseskaf_Mastaba.obj,yes,yes,yes,world,world,,text/plain,,
bq561ww8633,File 4,file,5,_1.jpg,_1.jpg,no,yes,yes,world,world,,image/jpeg,,
bq561ww8633,File 5,file,6,_2.jpg,_2.jpg,no,yes,yes,world,world,,image/jpeg,,
bq561ww8633,File 6,file,7,bq561ww8633.zip,bq561ww8633.zip,yes,yes,yes,world,world,,application/zip,,
bq657qb7394,File 1,file,1,bq657qb7394.zip,bq657qb7394.zip,yes,yes,yes,world,world,,application/zip,,
bq657qb7394,File 2,file,2,bq657qb7394_basecolor.jpg,bq657qb7394_basecolor.jpg,yes,yes,yes,world,world,,image/jpeg,,
bq657qb7394,File 3,file,3,bq657qb7394_low.mtl,bq657qb7394_low.mtl,yes,yes,yes,world,world,,text/plain,,
bq657qb7394,3d 1,3d,4,bq657qb7394_low.obj,bq657qb7394_low.obj,yes,yes,yes,world,world,,text/plain,,
bq657qb7394,File 4,file,5,bq657qb7394_normal.jpg,bq657qb7394_normal.jpg,yes,yes,yes,world,world,,image/jpeg,,
br036rj4142,File 1,file,1,HesyRa3.png,HesyRa3.png,no,yes,yes,world,world,,image/png,,
br036rj4142,File 2,file,2,Tia_Tia.mtl,Tia_Tia.mtl,yes,yes,yes,world,world,,text/plain,,
br036rj4142,3d 1,3d,3,Tia_Tia.obj,Tia_Tia.obj,yes,yes,yes,world,world,,text/plain,,
